COUNTRY,REG_NAME,PRODUCT,BRANDCODE,PRODUCTCODE,ACCESS_DATE,DATE_VAL,User_hist,User_login,REG_DATE,LAST_LOGIN,BIRTH_YEAR,,DURATION,BOUNCE,PURCHASE,USER_AGE,USER_GENDER,GENDER,USER_ID,USER_HIST,LASTLOGIN,MARITAL,PRICE,NO_ITEMS,PUR_VALUE,PRODUCT_PURCHASED,USER_JOB_DET,USER_INCOME,PAYMENT_DET
IN,KL,Fridge,LG,LGFridge35,4-1-2017,42739,42648,42675,05-10-2016,01-11-2016,1990,19-9-1990,119,0,0,26,0,F,GEWNYS40,91,64,M,14000,0,0,225,SERVICE,0,NA
IN,WB,LCD,HITACHI,HITACHILCD22,14-1-2017,42749,42718,42737,14-12-2016,02-01-2017,1985,1-6-1985,380,0,0,31,1,M,AINYDJ20,31,12,M,9000,0,0,70,BUSINESS,40087,NA
IN,KA,AC,LG,LGAC34,16-1-2017,42751,42733,42733,29-12-2016,29-12-2016,1991,19-7-1991,181,0,0,25,0,F,YFSMJR71,18,18,U,32000,0,0,160,BUSINESS,17116,NA
IN,KL,Fridge,LG,LGFridge35,19-1-2017,42754,42642,42676,29-09-2016,02-11-2016,1994,2-7-1994,256,0,1,22,0,F,YDMV@M43,112,78,U,14000,1,6371,100,SERVICE,0,COD
IN,MH,Fridge,BLUESTAR,BLUESTARFridge45,16-1-2017,42751,42575,42608,24-07-2016,26-08-2016,1998,24-7-1998,488,0,1,18,0,F,ERLBRL37,176,143,U,15000,1,19751,110,BUSINESS,5850,COD
IN,KA,Fridge,SAMSUNG,SAMSUNGFridge15,12-1-2017,42747,42728,42733,24-12-2016,29-12-2016,1984,9-6-1984,185,0,0,32,0,F,BJY@BY45,19,14,M,16000,0,0,70,HOUSEWIFE,0,NA
IN,WB,AC,LG,LGAC34,11-1-2017,42746,42629,42634,16-09-2016,21-09-2016,1986,23-5-1986,404,0,1,30,0,F,NWAUCU42,117,112,M,32000,1,4043,70,HOUSEWIFE,0,COD
IN,KL,AC,LG,LGAC34,20-1-2017,42755,42596,42705,14-08-2016,01-12-2016,1985,12-4-1985,550,0,0,31,1,M,GNFFZF74,159,50,U,32000,1,12368,105,SERVICE,1254,NA
IN,KL,Fridge,HITACHI,HITACHIFridge25,16-1-2017,42751,42652,42714,09-10-2016,10-12-2016,1992,15-10-1992,432,0,1,24,0,F,WLEARF24,99,37,U,14000,1,10101,450,UNEMPLOYED,1968,COD
IN,WB,Mobile,BLUESTAR,BLUESTARMobile41,14-1-2017,42749,42655,42725,12-10-2016,21-12-2016,1991,23-4-1991,551,0,1,25,1,M,IMKW@J99,94,24,U,10000,2,12545,80,STUDENT,38461,DEBIT
IN,KL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,2-1-2017,42737,42660,42704,17-10-2016,30-11-2016,1998,24-10-1998,157,0,0,18,1,M,IYZFEV30,77,33,U,23000,1,9461,700,SERVICE,479,NA
IN,TN,Mobile,HITACHI,HITACHIMobile21,3-1-2017,42738,42555,42597,04-07-2016,15-08-2016,1994,26-8-1994,50,0,0,22,1,M,XTNYPC32,183,141,U,12000,0,0,105,STUDENT,25280,NA
IN,MH,Fridge,HITACHI,HITACHIFridge25,8-1-2017,42743,42579,42656,28-07-2016,13-10-2016,1994,14-8-1994,521,0,1,22,1,M,FKFFSB28,164,87,U,14000,0,0,100,UNEMPLOYED,280,COD
IN,KL,AC,SAMSUNG,SAMSUNGAC14,15-1-2017,42750,42578,42696,27-07-2016,22-11-2016,1990,8-7-1990,317,0,0,26,1,M,HEKKXY79,172,54,U,30000,1,11896,125,BUSINESS,25871,NA
IN,TN,MICROWAVE,HITACHI,HITACHIMICROWAVE23,17-1-2017,42752,42701,42726,27-11-2016,22-12-2016,1990,17-4-1990,509,0,0,26,0,F,TNIIVW22,51,26,U,19000,0,0,750,SERVICE,0,NA
IN,MH,Mobile,LG,LGMobile31,16-1-2017,42751,42660,42699,17-10-2016,25-11-2016,1992,14-9-1992,446,0,1,24,1,M,MIBC@K62,91,52,U,13000,2,8028,100,UNEMPLOYED,431,COD
IN,MH,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,5-1-2017,42740,42545,42588,24-06-2016,06-08-2016,1981,17-7-1981,411,0,1,35,1,M,PJNFNW31,195,152,U,15000,2,13067,120,BUSINESS,32615,EMI
IN,MH,MICROWAVE,LG,LGMICROWAVE33,15-1-2017,42750,42577,42648,26-07-2016,05-10-2016,1986,25-8-1986,510,0,0,30,0,F,KRONWC96,173,102,M,20000,0,0,230,HOUSEWIFE,0,NA
IN,MH,LCD,LG,LGLCD32,11-1-2017,42746,42566,42639,15-07-2016,26-09-2016,1987,16-3-1987,554,0,0,29,0,F,NA@RHO82,180,107,M,16000,0,0,100,BUSINESS,15054,NA
IN,TN,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,14-1-2017,42749,42602,42681,20-08-2016,07-11-2016,1988,8-9-1988,337,0,1,28,1,M,EJN@@@86,147,68,M,15000,1,16248,200,BUSINESS,39640,EMI
IN,KL,LCD,BLUESTAR,BLUESTARLCD42,13-1-2017,42748,42723,42726,19-12-2016,22-12-2016,1997,9-8-1997,597,0,0,19,1,M,LZPBAX67,25,22,U,10000,1,5478,230,SERVICE,4230,NA
IN,MH,LCD,LG,LGLCD32,8-1-2017,42743,42637,42690,24-09-2016,16-11-2016,1994,20-6-1994,262,0,1,22,1,M,GYINMH31,106,53,U,16000,2,5642,80,BUSINESS,44644,EMI
IN,TL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,16-1-2017,42751,42552,42554,01-07-2016,03-07-2016,1997,1-5-1997,83,0,0,19,0,F,KDTTXK86,199,197,U,23000,1,14645,700,SERVICE,0,NA
IN,MH,Mobile,HITACHI,HITACHIMobile21,5-1-2017,42740,42703,42708,29-11-2016,04-12-2016,1997,26-10-1997,85,0,0,19,0,F,HYQIOJ73,37,32,U,12000,1,14382,470,SERVICE,0,NA
IN,TN,Mobile,SAMSUNG,SAMSUNGMobile11,20-1-2017,42755,42687,42703,13-11-2016,29-11-2016,1990,9-3-1990,170,0,0,26,0,F,TK@T@B32,68,52,U,11000,0,0,100,UNEMPLOYED,1234,NA
IN,KL,AC,SAMSUNG,SAMSUNGAC14,15-1-2017,42750,42555,42733,04-07-2016,29-12-2016,1984,16-6-1984,246,0,0,32,1,M,WYTDGN44,195,17,U,30000,1,12896,250,STUDENT,39252,NA
IN,KA,LCD,SAMSUNG,SAMSUNGLCD12,5-1-2017,42740,42648,42668,05-10-2016,25-10-2016,1995,21-4-1995,104,0,0,21,0,F,LJOXQW74,92,72,U,11000,1,15206,700,STUDENT,7973,NA
IN,KA,Mobile,HITACHI,HITACHIMobile21,13-1-2017,42748,42600,42702,18-08-2016,28-11-2016,1994,10-10-1994,375,0,0,22,0,F,THMCCQ22,148,46,U,12000,1,6545,125,SERVICE,0,NA
IN,KA,MICROWAVE,HITACHI,HITACHIMICROWAVE23,4-1-2017,42739,42560,42644,09-07-2016,01-10-2016,1992,15-8-1992,516,0,1,24,0,F,DVAAKB70,179,95,U,19000,0,0,70,STUDENT,7670,COD
IN,TN,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,16-1-2017,42751,42747,42748,12-01-2017,13-01-2017,1992,24-11-1992,194,0,0,24,0,F,QVUVNX27,4,3,U,28000,0,0,150,BUSINESS,6151,NA
IN,KL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,9-1-2017,42744,42666,42675,23-10-2016,01-11-2016,1985,11-7-1985,166,0,0,31,0,F,OIRWLO94,78,69,U,18000,1,14134,160,BUSINESS,8897,NA
IN,KL,Fridge,LG,LGFridge35,7-1-2017,42742,42607,42694,25-08-2016,20-11-2016,1989,2-9-1989,193,0,0,27,0,F,@COTVP24,135,48,M,14000,0,0,70,HOUSEWIFE,0,NA
IN,TL,AC,LG,LGAC34,17-1-2017,42752,42563,42709,12-07-2016,05-12-2016,1993,20-8-1993,41,0,0,23,0,F,OXSUS@27,189,43,U,32000,1,4595,100,SERVICE,0,NA
IN,TL,AC,SAMSUNG,SAMSUNGAC14,10-1-2017,42745,42589,42604,07-08-2016,22-08-2016,1992,11-5-1992,489,0,1,24,0,F,LZQZHC39,156,141,U,30000,0,0,110,BUSINESS,7602,COD
IN,KL,Fridge,SAMSUNG,SAMSUNGFridge15,7-1-2017,42742,42594,42662,12-08-2016,19-10-2016,1988,8-6-1988,27,0,0,28,1,M,XJEBD@96,148,80,M,16000,0,0,105,SERVICE,2742,NA
IN,WB,Fridge,HITACHI,HITACHIFridge25,2-1-2017,42737,42641,42649,28-09-2016,06-10-2016,1982,24-5-1982,285,0,1,34,0,F,QMDFGU38,96,88,U,14000,2,19815,125,STUDENT,5903,COD
IN,MH,MICROWAVE,HITACHI,HITACHIMICROWAVE23,14-1-2017,42749,42649,42678,06-10-2016,04-11-2016,1989,23-11-1989,494,0,0,27,1,M,BJOHMJ14,100,71,M,19000,0,0,160,STUDENT,25042,NA
IN,MH,Fridge,LG,LGFridge35,2-1-2017,42737,42539,42583,18-06-2016,01-08-2016,1998,9-3-1998,55,0,0,18,1,M,AULVOO37,198,154,U,14000,1,10979,450,SERVICE,707,NA
IN,KA,Mobile,BLUESTAR,BLUESTARMobile41,15-1-2017,42750,42630,42652,17-09-2016,09-10-2016,1994,22-7-1994,282,0,0,22,1,M,HPOOIE67,120,98,U,10000,0,0,230,SERVICE,294,NA
IN,WB,LCD,LG,LGLCD32,11-1-2017,42746,42738,42740,03-01-2017,05-01-2017,1998,11-10-1998,181,0,0,18,0,F,PWBCLO23,8,6,U,16000,1,12711,100,STUDENT,8110,NA
IN,TL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,12-1-2017,42747,42669,42691,26-10-2016,17-11-2016,1995,18-5-1995,308,0,0,21,1,M,FCKVXI26,78,56,U,15000,0,0,250,UNEMPLOYED,586,NA
IN,TN,LCD,SAMSUNG,SAMSUNGLCD12,6-1-2017,42741,42586,42658,04-08-2016,15-10-2016,1995,3-5-1995,580,0,1,21,0,F,IPYIKP16,155,83,U,11000,0,0,80,SERVICE,0,COD
IN,KA,WASH_MACH,HITACHI,HITACHIWASH_MACH26,20-1-2017,42755,42640,42654,27-09-2016,11-10-2016,1992,7-6-1992,82,0,0,24,0,F,MWQTUQ21,115,101,U,23000,1,19493,250,STUDENT,8302,NA
IN,KL,LCD,SAMSUNG,SAMSUNGLCD12,11-1-2017,42746,42653,42667,10-10-2016,24-10-2016,1983,2-11-1983,83,0,0,33,0,F,GZBBGG41,93,79,M,11000,0,0,50,HOUSEWIFE,0,NA
IN,KL,AC,HITACHI,HITACHIAC24,14-1-2017,42749,42651,42712,08-10-2016,08-12-2016,1988,4-5-1988,90,0,0,28,0,F,BGCPXO21,98,37,M,31000,1,3476,225,HOUSEWIFE,0,NA
IN,WB,LCD,HITACHI,HITACHILCD22,1-1-2017,42736,42600,42624,18-08-2016,11-09-2016,1981,25-9-1981,300,0,1,35,1,M,AWYNAH37,136,112,M,9000,1,18391,450,BUSINESS,31676,CREDIT
IN,WB,Mobile,BLUESTAR,BLUESTARMobile41,19-1-2017,42754,42683,42697,09-11-2016,23-11-2016,1982,10-11-1982,320,0,0,34,1,M,MOTRTH36,71,57,U,10000,1,15171,470,STUDENT,11920,NA
IN,MH,Mobile,SAMSUNG,SAMSUNGMobile11,20-1-2017,42755,42676,42731,02-11-2016,27-12-2016,1992,8-6-1992,132,0,0,24,1,M,FPEVEO73,79,24,U,11000,0,0,50,UNEMPLOYED,107,NA
IN,MH,AC,HITACHI,HITACHIAC24,8-1-2017,42743,42696,42718,22-11-2016,14-12-2016,1997,26-5-1997,513,0,1,19,1,M,PJTBHH43,47,25,U,31000,1,16045,110,STUDENT,19487,DEBIT
IN,TN,Fridge,SAMSUNG,SAMSUNGFridge15,5-1-2017,42740,42687,42691,13-11-2016,17-11-2016,1985,10-3-1985,2,1,0,31,1,M,QCVUGW70,53,49,M,16000,0,0,80,BUSINESS,16282,NA
IN,TL,WASH_MACH,HITACHI,HITACHIWASH_MACH26,14-1-2017,42749,42580,42685,29-07-2016,11-11-2016,1983,27-6-1983,91,0,0,33,0,F,XYJWZI53,169,64,U,23000,0,0,110,UNEMPLOYED,1115,NA
IN,TL,Fridge,SAMSUNG,SAMSUNGFridge15,2-1-2017,42737,42645,42695,02-10-2016,21-11-2016,1998,26-5-1998,234,0,0,18,1,M,WANUQF24,92,42,U,16000,0,0,150,SERVICE,477,NA
IN,TL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,2-1-2017,42737,42695,42702,21-11-2016,28-11-2016,1993,23-6-1993,531,0,0,23,1,M,EDTQJM61,42,35,U,18000,0,0,100,STUDENT,37444,NA
IN,KL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,14-1-2017,42749,42738,42745,03-01-2017,10-01-2017,1983,15-9-1983,558,0,1,33,1,M,EPW@KT93,11,4,M,15000,0,0,90,BUSINESS,18710,CREDIT
IN,TN,WASH_MACH,LG,LGWASH_MACH36,14-1-2017,42749,42725,42748,21-12-2016,13-01-2017,1984,15-8-1984,591,0,0,32,0,F,CPNZDT61,24,1,U,24000,1,7904,200,STUDENT,7738,NA
IN,TN,LCD,BLUESTAR,BLUESTARLCD42,10-1-2017,42745,42568,42710,17-07-2016,06-12-2016,1991,9-11-1991,87,0,0,25,0,F,CJVIBR61,177,35,U,10000,1,17359,100,STUDENT,8672,NA
IN,KL,Fridge,BLUESTAR,BLUESTARFridge45,7-1-2017,42742,42585,42712,03-08-2016,08-12-2016,1986,21-4-1986,141,0,0,30,0,F,QIFIWX11,157,30,U,15000,1,12725,50,BUSINESS,12536,NA
IN,TL,AC,HITACHI,HITACHIAC24,4-1-2017,42739,42685,42695,11-11-2016,21-11-2016,1982,4-3-1982,463,0,1,34,1,M,IO@KOY58,54,44,U,31000,0,0,150,STUDENT,36388,DEBIT
IN,TL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,15-1-2017,42750,42693,42735,19-11-2016,31-12-2016,1987,6-3-1987,312,0,0,29,1,M,NPKMGG39,57,15,U,18000,0,0,160,SERVICE,3065,NA
IN,WB,Fridge,LG,LGFridge35,20-1-2017,42755,42673,42722,30-10-2016,18-12-2016,1984,20-7-1984,495,0,0,32,0,F,TSBCCE30,82,33,M,14000,1,8695,250,BUSINESS,8735,NA
IN,TL,LCD,SAMSUNG,SAMSUNGLCD12,16-1-2017,42751,42723,42728,19-12-2016,24-12-2016,1982,3-7-1982,437,0,1,34,1,M,VOHSEA60,28,23,M,11000,0,0,230,SERVICE,2450,COD
IN,KA,LCD,LG,LGLCD32,11-1-2017,42746,42637,42695,24-09-2016,21-11-2016,1989,19-5-1989,587,0,1,27,0,F,DIDCJK21,109,51,U,16000,1,7485,70,UNEMPLOYED,713,COD
IN,KA,AC,LG,LGAC34,4-1-2017,42739,42700,42730,26-11-2016,26-12-2016,1987,16-3-1987,290,0,0,29,1,M,OHRLJS96,39,9,M,32000,0,0,250,SERVICE,2637,NA
IN,TL,LCD,SAMSUNG,SAMSUNGLCD12,4-1-2017,42739,42698,42733,24-11-2016,29-12-2016,1985,13-11-1985,191,0,0,31,1,M,LUSMJR74,41,6,M,11000,1,1616,230,SERVICE,4911,NA
IN,TL,LCD,LG,LGLCD32,12-1-2017,42747,42624,42691,11-09-2016,17-11-2016,1981,28-10-1981,24,0,0,35,1,M,RLYYYI23,123,56,M,16000,1,13872,80,SERVICE,1785,NA
IN,WB,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,12-1-2017,42747,42594,42629,12-08-2016,16-09-2016,1996,6-9-1996,440,0,1,20,0,F,YDXPXD73,153,118,U,20000,2,12922,150,STUDENT,5920,COD
IN,MH,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,11-1-2017,42746,42650,42690,07-10-2016,16-11-2016,1993,22-10-1993,59,0,0,23,1,M,QZKZWG39,96,56,U,18000,1,1020,150,STUDENT,25029,NA
IN,MH,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,15-1-2017,42750,42569,42595,18-07-2016,13-08-2016,1983,28-4-1983,423,0,1,33,1,M,IJTVOR89,181,155,M,18000,1,1102,450,SERVICE,3727,COD
IN,TL,Mobile,BLUESTAR,BLUESTARMobile41,3-1-2017,42738,42732,42734,28-12-2016,30-12-2016,1991,28-8-1991,280,0,1,25,0,F,MZRFYC82,6,4,U,10000,0,0,160,BUSINESS,13867,COD
IN,WB,Fridge,LG,LGFridge35,12-1-2017,42747,42689,42743,15-11-2016,08-01-2017,1982,13-4-1982,61,0,0,34,0,F,BJAKOZ29,58,4,U,14000,1,6708,150,UNEMPLOYED,284,NA
IN,MH,AC,BLUESTAR,BLUESTARAC44,8-1-2017,42743,42737,42738,02-01-2017,03-01-2017,1987,19-7-1987,63,0,0,29,0,F,@TSWRS52,6,5,U,25000,1,16385,150,BUSINESS,17250,NA
IN,KL,AC,BLUESTAR,BLUESTARAC44,15-1-2017,42750,42616,42721,03-09-2016,17-12-2016,1990,12-4-1990,335,0,0,26,0,F,NNGURH61,134,29,M,25000,1,7580,110,BUSINESS,5426,NA
IN,WB,Fridge,SAMSUNG,SAMSUNGFridge15,9-1-2017,42744,42587,42686,05-08-2016,12-11-2016,1989,23-6-1989,563,0,0,27,0,F,LAYHKN95,157,58,U,16000,1,8831,100,STUDENT,5551,NA
IN,TL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,8-1-2017,42743,42609,42630,27-08-2016,17-09-2016,1997,1-5-1997,199,0,0,19,1,M,QSCBFV44,134,113,U,15000,1,9244,150,UNEMPLOYED,271,NA
IN,KL,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,12-1-2017,42747,42717,42725,13-12-2016,21-12-2016,1988,14-8-1988,133,0,0,28,0,F,RQTBCK13,30,22,U,18000,0,0,125,STUDENT,8985,NA
IN,WB,MICROWAVE,HITACHI,HITACHIMICROWAVE23,10-1-2017,42745,42682,42736,08-11-2016,01-01-2017,1985,25-6-1985,368,0,1,31,0,F,IXMKYI72,63,9,U,19000,1,3383,50,BUSINESS,7121,COD
IN,WB,AC,HITACHI,HITACHIAC24,7-1-2017,42742,42665,42702,22-10-2016,28-11-2016,1989,20-9-1989,486,0,1,27,1,M,UEHUBK86,77,40,M,31000,1,8595,70,SERVICE,4117,COD
IN,MH,WASH_MACH,SAMSUNG,SAMSUNGWASH_MACH16,2-1-2017,42737,42645,42670,02-10-2016,27-10-2016,1987,14-6-1987,77,0,0,29,0,F,NHIRZP29,92,67,U,28000,1,7582,80,BUSINESS,11523,NA
IN,MH,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,18-1-2017,42753,42700,42736,26-11-2016,01-01-2017,1986,14-8-1986,586,0,1,30,1,M,ZXBLBE79,53,17,U,20000,1,12440,125,BUSINESS,33762,CREDIT
IN,WB,MICROWAVE,HITACHI,HITACHIMICROWAVE23,13-1-2017,42748,42710,42719,06-12-2016,15-12-2016,1985,17-3-1985,451,0,1,31,1,M,NODHKD18,38,29,U,19000,0,0,120,SERVICE,4054,COD
IN,MH,MICROWAVE,LG,LGMICROWAVE33,17-1-2017,42752,42614,42699,01-09-2016,25-11-2016,1988,14-5-1988,170,0,0,28,1,M,HDYTKA43,138,53,M,20000,1,9432,225,SERVICE,3589,NA
IN,TL,LCD,HITACHI,HITACHILCD22,2-1-2017,42737,42676,42684,02-11-2016,10-11-2016,1988,18-10-1988,313,0,1,28,0,F,Y@Z@EA43,61,53,M,9000,1,11210,80,SERVICE,0,COD
IN,WB,WASH_MACH,HITACHI,HITACHIWASH_MACH26,13-1-2017,42748,42563,42705,12-07-2016,01-12-2016,1986,8-11-1986,2,1,0,30,0,F,CLAEKK89,185,43,U,23000,0,0,100,SERVICE,0,NA
IN,KL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,20-1-2017,42755,42719,42724,15-12-2016,20-12-2016,1985,20-9-1985,284,0,0,31,1,M,IBECBH96,36,31,U,15000,0,0,150,BUSINESS,15935,NA
IN,MH,AC,BLUESTAR,BLUESTARAC44,17-1-2017,42752,42614,42654,01-09-2016,11-10-2016,1985,1-3-1985,484,0,0,31,0,F,IQJMKJ91,138,98,U,25000,1,16295,105,UNEMPLOYED,635,NA
IN,KL,Fridge,HITACHI,HITACHIFridge25,7-1-2017,42742,42552,42572,01-07-2016,21-07-2016,1993,12-11-1993,587,0,1,23,1,M,CKKKTG92,190,170,U,14000,2,6864,110,STUDENT,38879,DEBIT
IN,TL,Fridge,SAMSUNG,SAMSUNGFridge15,16-1-2017,42751,42629,42696,16-09-2016,22-11-2016,1986,10-5-1986,91,0,0,30,1,M,LFKD@Q87,122,55,M,16000,0,0,230,SERVICE,2643,NA
IN,WB,LCD,LG,LGLCD32,1-1-2017,42736,42632,42685,19-09-2016,11-11-2016,1984,24-3-1984,195,0,0,32,1,M,YMZQVV35,104,51,U,16000,1,13155,70,SERVICE,782,NA
IN,TL,AC,LG,LGAC34,6-1-2017,42741,42738,42739,03-01-2017,04-01-2017,1997,14-5-1997,247,0,1,19,1,M,IFJDUS20,3,2,U,32000,2,24283,160,BUSINESS,27162,EMI
IN,TL,Fridge,LG,LGFridge35,6-1-2017,42741,42600,42604,18-08-2016,22-08-2016,1985,11-11-1985,155,0,0,31,0,F,DWQHPY64,141,137,M,14000,1,1199,50,SERVICE,0,NA
IN,TN,AC,HITACHI,HITACHIAC24,13-1-2017,42748,42556,42585,05-07-2016,03-08-2016,1989,16-9-1989,308,0,1,27,1,M,WJPKDY63,192,163,M,31000,1,16071,100,SERVICE,2955,COD
IN,TL,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,20-1-2017,42755,42612,42703,30-08-2016,29-11-2016,1982,17-7-1982,258,0,1,34,1,M,AHNCSK75,143,52,U,15000,2,22612,100,BUSINESS,35005,CREDIT
IN,WB,AC,SAMSUNG,SAMSUNGAC14,16-1-2017,42751,42689,42695,15-11-2016,21-11-2016,1982,25-11-1982,561,0,0,34,0,F,@KPBIO75,62,56,U,30000,1,17158,100,SERVICE,0,NA
IN,TN,MICROWAVE,BLUESTAR,BLUESTARMICROWAVE43,10-1-2017,42745,42646,42704,03-10-2016,30-11-2016,1984,15-10-1984,352,0,0,32,1,M,A@NTQC75,99,41,U,15000,1,8700,70,SERVICE,2620,NA
IN,MH,AC,LG,LGAC34,11-1-2017,42746,42579,42684,28-07-2016,10-11-2016,1989,6-6-1989,108,0,0,27,0,F,QSEOWZ65,167,62,M,32000,1,7654,160,HOUSEWIFE,0,NA
IN,WB,Fridge,LG,LGFridge35,15-1-2017,42750,42551,42589,30-06-2016,07-08-2016,1983,14-3-1983,215,0,1,33,1,M,NTQEUB76,199,161,U,14000,0,0,750,SERVICE,520,COD
IN,TL,Mobile,LG,LGMobile31,9-1-2017,42744,42692,42704,18-11-2016,30-11-2016,1991,10-10-1991,319,0,0,25,0,F,TEBWXE85,52,40,U,13000,1,1479,160,BUSINESS,9362,NA
IN,KA,Fridge,LG,LGFridge35,10-1-2017,42745,42687,42726,13-11-2016,22-12-2016,1988,3-8-1988,427,0,0,28,0,F,HIAIJG30,58,19,U,14000,0,0,150,SERVICE,0,NA
IN,WB,MICROWAVE,SAMSUNG,SAMSUNGMICROWAVE13,2-1-2017,42737,42585,42638,03-08-2016,25-09-2016,1983,20-11-1983,441,0,1,33,1,M,IWYHLT19,152,99,U,18000,1,4078,100,STUDENT,20091,DEBIT
IN,TL,Fridge,BLUESTAR,BLUESTARFridge45,13-1-2017,42748,42679,42702,05-11-2016,28-11-2016,1987,25-9-1987,410,0,1,29,0,F,YJZMSK41,69,46,M,15000,1,12168,80,SERVICE,0,COD
IN,KL,WASH_MACH,BLUESTAR,BLUESTARWASH_MACH46,6-1-2017,42741,42681,42694,07-11-2016,20-11-2016,1995,15-5-1995,125,0,0,21,0,F,SUIFSJ85,60,47,U,20000,1,9571,700,BUSINESS,10455,NA
IN,KA,Mobile,HITACHI,HITACHIMobile21,4-1-2017,42739,42635,42723,22-09-2016,19-12-2016,1982,7-6-1982,56,0,0,34,1,M,NSGZGZ18,104,16,U,12000,1,19750,105,STUDENT,32998,NA
IN,KA,Fridge,HITACHI,HITACHIFridge25,3-1-2017,42738,42666,42733,23-10-2016,29-12-2016,1984,2-5-1984,381,0,1,32,1,M,VDPUAG61,72,5,M,14000,1,10496,120,SERVICE,4681,COD
IN,TN,MICROWAVE,LG,LGMICROWAVE33,3-1-2017,42738,42667,42728,24-10-2016,24-12-2016,1983,1-3-1983,519,0,0,33,0,F,BWNFIB57,71,10,U,20000,1,2958,160,UNEMPLOYED,1331,NA
IN,TL,Fridge,LG,LGFridge35,15-1-2017,42750,42742,42743,07-01-2017,08-01-2017,1994,7-9-1994,500,0,1,22,0,F,RGYGGO95,8,7,U,14000,0,0,105,STUDENT,6265,COD
